year,language,type,count
1970,Adblock Filter List,data,75
1970,Batchfile,programming,1
1970,C,programming,493
1970,C++,programming,2
1970,CSS,markup,6
1970,GCC Machine Description,programming,5
1970,INI,data,20
1970,Java,programming,872
1970,Java Server Pages,programming,1
1970,JavaScript,programming,9
1970,Module Management System,programming,2
1970,Perl,programming,1
1970,Python,programming,161
1970,Roff,markup,1
1970,SAS,programming,3
1970,Shell,programming,7
1970,Vim script,programming,6
1970,WebAssembly,programming,3
1970,XML,data,520
1980,C++,programming,4
1980,GCC Machine Description,programming,6
1980,Ignore List,data,1
1980,JavaScript,programming,1
1980,Python,programming,2
1980,RBS,data,1
1980,Ruby,programming,43
1982,DIGITAL Command Language,programming,1
1982,Roff,markup,1
1994,C,programming,16
1994,GCC Machine Description,programming,1
1998,C,programming,11
1998,C++,programming,9
1998,TeX,markup,1
1999,Adblock Filter List,data,2
1999,Batchfile,programming,8
1999,C,programming,301
1999,C++,programming,389
1999,CSV,data,1
1999,INI,data,4
1999,Ignore List,data,1
1999,Java,programming,215
1999,Makefile,programming,4
1999,Python,programming,534
1999,Shell,programming,1
1999,XML,data,30
2000,Adblock Filter List,data,21
2000,C,programming,282
2000,C++,programming,264
2000,Diff,data,1
2000,Java,programming,342
2000,JavaScript,programming,2
2000,Makefile,programming,3
2000,Python,programming,81
2000,TeX,markup,2
2001,Adblock Filter List,data,28
2001,Batchfile,programming,7
2001,C,programming,47
2001,C++,programming,155
2001,Diff,data,6
2001,HTML,markup,3
2001,INI,data,1
2001,Java,programming,322
2001,Java Server Pages,programming,1
2001,JavaScript,programming,1
2001,Perl,programming,4
2001,Python,programming,24
2001,SCSS,markup,1
2001,Shell,programming,6
2001,X BitMap,data,46
2001,XML,data,3
2002,Adblock Filter List,data,12
2002,Batchfile,programming,1
2002,C,programming,393
2002,C++,programming,266
2002,Diff,data,13
2002,HTML,markup,9
2002,Java,programming,712
2002,PostScript,markup,4
2002,Python,programming,171
2002,Rich Text Format,markup,128
2002,TeX,markup,2
2002,Wavefront Material,data,1
2002,Wavefront Object,data,1
2002,XML,data,8
2002,XSLT,programming,5
2002,desktop,data,2
2003,Adblock Filter List,data,186
2003,Batchfile,programming,15
2003,BibTeX,markup,4
2003,C,programming,988
2003,C++,programming,954
2003,CSS,markup,1
2003,Diff,data,4
2003,Emacs Lisp,programming,50
2003,GCC Machine Description,programming,1
2003,HTML,markup,83
2003,Handlebars,markup,2
2003,INI,data,5
2003,Ignore List,data,3
2003,Java,programming,2940
2003,Java Server Pages,programming,12
2003,JavaScript,programming,1
2003,Makefile,programming,6
2003,Microsoft Visual Studio Solution,data,4
2003,OCaml,programming,59
2003,Perl,programming,14
2003,PostScript,markup,4
2003,Python,programming,61
2003,Rich Text Format,markup,1300
2003,Ruby,programming,1
2003,Shell,programming,46
2003,TeX,markup,125
2003,X PixMap,data,86
2003,XML,data,83
2003,XSLT,programming,35
2004,Adblock Filter List,data,66
2004,Batchfile,programming,4
2004,BibTeX,markup,8
2004,C,programming,469
2004,C++,programming,657
2004,CSS,markup,9
2004,Emacs Lisp,programming,49
2004,HTML,markup,24
2004,IGOR Pro,programming,2
2004,Java,programming,2625
2004,Java Server Pages,programming,1
2004,JavaScript,programming,1
2004,Microsoft Visual Studio Solution,data,4
2004,Perl,programming,7
2004,PostScript,markup,20
2004,Python,programming,210
2004,Rich Text Format,markup,831
2004,SQL,data,3
2004,Shell,programming,37
2004,Spline Font Database,data,2
2004,TeX,markup,140
2004,XML,data,149
2004,XSLT,programming,5
2005,Adblock Filter List,data,82
2005,Batchfile,programming,6
2005,Boo,programming,2
2005,C,programming,732
2005,C++,programming,410
2005,CSS,markup,28
2005,CSV,data,2
2005,Checksums,data,1
2005,Diff,data,2
2005,Emacs Lisp,programming,42
2005,Fortran Free Form,programming,90
2005,HTML,markup,71
2005,INI,data,27
2005,Inno Setup,programming,2
2005,Java,programming,2063
2005,Java Server Pages,programming,11
2005,JavaScript,programming,3
2005,Makefile,programming,12
2005,Microsoft Visual Studio Solution,data,4
2005,PLSQL,programming,2
2005,Pascal,programming,19
2005,Perl,programming,13
2005,PostScript,markup,1
2005,Python,programming,79
2005,Rich Text Format,markup,474
2005,SQL,data,3
2005,Shell,programming,32
2005,TeX,markup,51
2005,Web Ontology Language,data,2
2005,XML,data,241
2005,XSLT,programming,2
2005,sed,programming,2
2006,Adblock Filter List,data,358
2006,Assembly,programming,5
2006,Awk,programming,1
2006,Batchfile,programming,9
2006,BibTeX,markup,2
2006,Boo,programming,5
2006,C,programming,898
2006,C++,programming,695
2006,CSS,markup,57
2006,ColdFusion,programming,1
2006,Diff,data,3
2006,Emacs Lisp,programming,8
2006,Fortran Free Form,programming,70
2006,HTML,markup,14
2006,IGOR Pro,programming,10
2006,INI,data,20
2006,Ignore List,data,25
2006,Java,programming,6698
2006,Java Server Pages,programming,75
2006,JavaScript,programming,101
2006,Makefile,programming,9
2006,Microsoft Visual Studio Solution,data,12
2006,NSIS,programming,3
2006,Perl,programming,14
2006,Python,programming,2428
2006,Rich Text Format,markup,209
2006,Ruby,programming,202
2006,SQL,data,2
2006,Shell,programming,48
2006,SuperCollider,programming,4
2006,Tcsh,programming,4
2006,TeX,markup,416
2006,VBScript,programming,2
2006,WebAssembly,programming,2
2006,X PixMap,data,3
2006,XML,data,1234
2006,XSLT,programming,5
2006,desktop,data,1
2006,sed,programming,1
2007,ASP.NET,programming,3
2007,Adblock Filter List,data,597
2007,Assembly,programming,2
2007,Batchfile,programming,41
2007,BibTeX,markup,3
2007,Boo,programming,9
2007,C,programming,7580
2007,C++,programming,7528
2007,CMake,programming,2
2007,CSS,markup,92
2007,CSV,data,38
2007,ColdFusion,programming,36
2007,ColdFusion CFC,programming,7
2007,Csound,programming,5
2007,Csound Document,programming,2
2007,Csound Score,programming,6
2007,Diff,data,2
2007,Dotenv,data,1
2007,Emacs Lisp,programming,16
2007,EmberScript,programming,3
2007,Forth,programming,6
2007,Fortran Free Form,programming,134
2007,GDB,programming,3
2007,GLSL,programming,3
2007,GtkRC,data,3
2007,HLSL,programming,5
2007,HTML,markup,248
2007,HTML+ERB,markup,7
2007,Haskell,programming,1
2007,IGOR Pro,programming,274
2007,INI,data,82
2007,Ignore List,data,31
2007,Inno Setup,programming,1
2007,JFlex,programming,10
2007,Java,programming,12005
2007,Java Server Pages,programming,69
2007,JavaScript,programming,188
2007,LabVIEW,programming,10
2007,Lex,programming,1
2007,Lua,programming,1
2007,Makefile,programming,55
2007,Microsoft Visual Studio Solution,data,73
2007,NSIS,programming,1
2007,Perl,programming,14
2007,Praat,programming,1
2007,Python,programming,3273
2007,Rich Text Format,markup,152
2007,Ruby,programming,106
2007,SVG,data,22
2007,Scheme,programming,2
2007,Shell,programming,144
2007,SuperCollider,programming,19
2007,TeX,markup,62
2007,Vim script,programming,1
2007,Visual Basic .NET,programming,36
2007,Wavefront Material,data,2
2007,Wavefront Object,data,3
2007,WebAssembly,programming,1
2007,X PixMap,data,4
2007,XML,data,2860
2007,XSLT,programming,10
2007,nesC,programming,84
2008,AIDL,programming,1
2008,ASL,programming,1
2008,ASP.NET,programming,93
2008,Adblock Filter List,data,2687
2008,AppleScript,programming,15
2008,Awk,programming,3
2008,Batchfile,programming,103
2008,BibTeX,markup,1
2008,C,programming,10035
2008,C++,programming,5155
2008,CMake,programming,2
2008,COLLADA,data,4
2008,CSS,markup,284
2008,CSV,data,88
2008,Checksums,data,6
2008,Diff,data,33
2008,Dotenv,data,1
2008,Emacs Lisp,programming,2
2008,EmberScript,programming,2
2008,Erlang,programming,1
2008,Forth,programming,1
2008,Fortran Free Form,programming,78
2008,GDB,programming,4
2008,Genshi,programming,57
2008,Groovy,programming,53
2008,Groovy Server Pages,programming,15
2008,GtkRC,data,3
2008,HTML,markup,121
2008,HTML+ERB,markup,3
2008,Haskell,programming,10
2008,IGOR Pro,programming,6
2008,INI,data,114
2008,Ignore List,data,18
2008,JFlex,programming,1
2008,Java,programming,17614
2008,Java Server Pages,programming,185
2008,JavaScript,programming,362
2008,LabVIEW,programming,1
2008,Lua,programming,318
2008,Makefile,programming,33
2008,Max,programming,1016
2008,Microsoft Visual Studio Solution,data,81
2008,NSIS,programming,3
2008,PHP,programming,18
2008,Pascal,programming,116
