language,type,year,count
JSON,data,2000,1060
JSON,data,2001,835
JSON,data,2002,114
JSON,data,2003,37
JSON,data,2018,131709358
JSON,data,2019,173215073
JSON,data,2020,238284890
JSON,data,2021,285249981
HTML,markup,2000,192451
HTML,markup,2001,92293
HTML,markup,2002,169910
HTML,markup,2003,175743
HTML,markup,2018,79635859
HTML,markup,2019,127463415
HTML,markup,2020,148120221
HTML,markup,2021,203364463
Java,programming,2000,44275
Java,programming,2001,129465
Java,programming,2002,260647
Java,programming,2003,397908
Java,programming,2018,64039989
Java,programming,2019,63746438
Java,programming,2020,67966967
Java,programming,2021,64077725
JavaScript,programming,2000,6946
JavaScript,programming,2001,8682
JavaScript,programming,2002,6704
JavaScript,programming,2003,4848
JavaScript,programming,2018,53891803
JavaScript,programming,2019,67761796
JavaScript,programming,2020,79990257
JavaScript,programming,2021,96862528
XML,markup,2000,8543
XML,markup,2001,32008
XML,markup,2002,59688
XML,markup,2003,88685
XML,markup,2018,44836779
XML,markup,2019,49356207
XML,markup,2020,48713987
XML,markup,2021,47878960
PHP,programming,2000,7742
PHP,programming,2001,21264
PHP,programming,2002,67711
PHP,programming,2003,72681
PHP,programming,2018,26436495
PHP,programming,2019,26297783
PHP,programming,2020,27468494
PHP,programming,2021,29432604
Python,programming,2000,20494
Python,programming,2001,28970
Python,programming,2002,38019
Python,programming,2003,45894
Python,programming,2018,22907202
Python,programming,2019,26846018
Python,programming,2020,35372913
Python,programming,2021,39404127
C,programming,2000,520591
C,programming,2001,660636
C,programming,2002,797256
C,programming,2003,797897
C,programming,2018,19619801
C,programming,2019,20300120
C,programming,2020,21347995
C,programming,2021,20192306
C#,programming,2000,22271
C#,programming,2001,2316
C#,programming,2002,11627
C#,programming,2003,26661
C#,programming,2018,21866472
C#,programming,2019,23287720
C#,programming,2020,26804639
C#,programming,2021,30369753
C++,programming,2000,107379
C++,programming,2001,145937
C++,programming,2002,207661
C++,programming,2003,260394
C++,programming,2018,15053071
C++,programming,2019,14908307
C++,programming,2020,17210797
C++,programming,2021,17323133
